InChI	CID	IUPAC_name	Molecular_formula	Molecular_weight	Isomeric_smiles	Canonical_smiles	abbrv	Name
NJMGRJLQRLFQQX-HYXAFXHYSA-L	21954611	(Z)-2-propan-2-ylbut-2-enedioate	C7H8O4-2	156.14	CC(C)/C(=C/C(=O)[O-])/C(=O)[O-]	CC(C)C(=CC(=O)[O-])C(=O)[O-]	2ippm	2-Isopropylmaleate
VOKUMXABRRXHAR-UHFFFAOYSA-M	21917715	2-methyl-3-oxopropanoate	C4H5O3-	101.08	CC(C=O)C(=O)[O-]	CC(C=O)C(=O)[O-]	2mop	2-Methyl-3-oxopropanoate
JSHMCUNOMIZJDJ-UHFFFAOYSA-L	21738819	butanoyl phosphate	C4H7O5P-2	166.07	CCCC(=O)OP(=O)([O-])[O-]	CCCC(=O)OP(=O)([O-])[O-]	butpi	Butanoyl phosphate
XMWHRVNVKDKBRG-UHNVWZDZSA-L	21608483	[(2R,3S)-2,3,4-trihydroxy-3-methylbutyl] phosphate	C5H11O7P-2	214.11	C[C@](CO)([C@@H](COP(=O)([O-])[O-])O)O	CC(CO)(C(COP(=O)([O-])[O-])O)O	2me4p	2-C-methyl-D-erythritol 4-phosphate
SFRQRNJMIIUYDI-UHNVWZDZSA-L	21605869	(6S,7R)-6-(hydroxymethyl)-6-methyl-2,4-dioxido-2,4-dioxo-1,3,5,2lambda5,4lambda5-trioxadiphosphocan-7-ol	C5H10O9P2-2	276.07	C[C@@]1([C@@H](COP(=O)(OP(=O)(O1)[O-])[O-])O)CO	CC1(C(COP(=O)(OP(=O)(O1)[O-])[O-])O)CO	2mecdp	2-C-methyl-D-erythritol 2,4-cyclodiphosphate
BOPGDPNILDQYTO-NNYOXOHSSA-L	21604869	[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl] [(2R,3S,4R,5R)-5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphate	C21H27N7O14P2-2	663.4	C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O	nadh	Nicotinamide adenine dinucleotide - reduced
NBSCHQHZLSJFNQ-VFUOTHLCSA-L	21604865	[(2R,3S,4S,5R,6R)-3,4,5,6-tetrahydroxyoxan-2-yl]methyl phosphate	C6H11O9P-2	258.12	C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)OP(=O)([O-])[O-]	C(C1C(C(C(C(O1)O)O)O)O)OP(=O)([O-])[O-]	g6p_B	Beta D glucose 6 phosphate C6H11O9P
NBSCHQHZLSJFNQ-DVKNGEFBSA-L	21604864	[(2R,3S,4S,5R,6S)-3,4,5,6-tetrahydroxyoxan-2-yl]methyl phosphate	C6H11O9P-2	258.12	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)([O-])[O-]	C(C1C(C(C(C(O1)O)O)O)O)OP(=O)([O-])[O-]	g6p_A	Alpha-D-glucose 6 phosphate
BGWGXPAPYGQALX-ARQDHWQXSA-L	21604863	[(2R,3S,4S,5R)-3,4,5-trihydroxy-5-(hydroxymethyl)oxolan-2-yl]methyl phosphate	C6H11O9P-2	258.12	C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)([O-])[O-]	C(C1C(C(C(O1)(CO)O)O)O)OP(=O)([O-])[O-]	f6p	D-Fructose 6-phosphate
MDSIZRKJVDMQOQ-GORDUTHDSA-K	21597501	[[(E)-4-hydroxy-3-methylbut-2-enoxy]-oxidophosphoryl] phosphate	C5H9O8P2-3	259.07	C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])/CO	CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CO	h2mb4p	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate
PDGXJDXVGMHUIR-UJURSFKZSA-M	21145376	(2R,3R)-2,3-dihydroxy-3-methylpentanoate	C6H11O4-	147.15	CC[C@](C)([C@H](C(=O)[O-])O)O	CCC(C)(C(C(=O)[O-])O)O	23dhmp	(R)-2,3-Dihydroxy-3-methylpentanoate
WHKYNCPIXMNTRQ-UHFFFAOYSA-M	21145222	4-(carbamoylamino)-5-hydroxy-2-oxo-1H-imidazole-5-carboxylate	C5H5N4O5-	201.12	C1(=NC(=O)NC1(C(=O)[O-])O)NC(=O)N	C1(=NC(=O)NC1(C(=O)[O-])O)NC(=O)N	5houdic	5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate
AXRMZRLNCOVFJZ-UHFFFAOYSA-M	21145162	1,6-dihydroxy-5-methylcyclohexa-2,4-diene-1-carboxylate	C8H9O4-	169.15	CC1=CC=CC(C1O)(C(=O)[O-])O	CC1=CC=CC(C1O)(C(=O)[O-])O	dh3mchc	1,2-Dihydroxy-3-methylcyclohexa-3,5-dienecarboxylate
GACTWZZMVMUKNG-DPYQTVNSSA-L	21145148	[(2S,3R,4S,5R)-2,3,4,5,6-pentahydroxyhexyl] phosphate	C6H13O9P-2	260.14	C([C@H]([C@@H]([C@@H]([C@H](COP(=O)([O-])[O-])O)O)O)O)O	C(C(C(C(C(COP(=O)([O-])[O-])O)O)O)O)O	galt1p	Galactitol 1-phosphate
JVQYSWDUAOAHFM-SCSAIBSYSA-M	21145136	(3R)-3-methyl-2-oxopentanoate	C6H9O3-	129.13	CC[C@@H](C)C(=O)C(=O)[O-]	CCC(C)C(=O)C(=O)[O-]	2o3mpt	 R  2 Oxo 3 methylpentanoate C6H9O3
VUQLHQFKACOHNZ-LURJTMIESA-M	21145135	(2S)-2-ethyl-2-hydroxy-3-oxobutanoate	C6H9O4-	145.13	CC[C@](C(=O)C)(C(=O)[O-])O	CCC(C(=O)C)(C(=O)[O-])O	2ahbut	(S)-2-Aceto-2-hydroxybutanoate
FNZLKVNUWIIPSJ-CRCLSJGQSA-L	21145006	[(2S,3S)-2,3,5-trihydroxy-4-oxopentyl] phosphate	C5H9O8P-2	228.09	C([C@@H]([C@@H](C(=O)CO)O)O)OP(=O)([O-])[O-]	C(C(C(C(=O)CO)O)O)OP(=O)([O-])[O-]	ru5p__L	L-Ribulose 5-phosphate
FNZLKVNUWIIPSJ-UHNVWZDZSA-L	21144996	[(2R,3R)-2,3,5-trihydroxy-4-oxopentyl] phosphate	C5H9O8P-2	228.09	C([C@H]([C@H](C(=O)CO)O)O)OP(=O)([O-])[O-]	C(C(C(C(=O)CO)O)O)OP(=O)([O-])[O-]	ru5p__D	D-Ribulose 5-phosphate
DAEAPNUQQAICNR-RRKCRQDMSA-K	21125569	[[(2R,3S,5R)-5-(6-aminopurin-9-yl)-3-hydroxyoxolan-2-yl]methoxy-oxidophosphoryl] phosphate	C10H12N5O9P2-3	408.18	C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)([O-])OP(=O)([O-])[O-])O	C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)([O-])OP(=O)([O-])[O-])O	dadp	DADP C10H12N5O9P2
RNBGYGVWRKECFJ-VRPWFDPXSA-J	21125049	[(2R,3S,4S)-3,4,5-trihydroxy-5-(phosphonatooxymethyl)oxolan-2-yl]methyl phosphate	C6H10O12P2-4	336.08	C([C@@H]1[C@H]([C@@H](C(O1)(COP(=O)([O-])[O-])O)O)O)OP(=O)([O-])[O-]	C(C1C(C(C(O1)(COP(=O)([O-])[O-])O)O)O)OP(=O)([O-])[O-]	fdp	D-Fructose 1,6-bisphosphate
UJLXYODCHAELLY-XLPZGREQSA-K	21124327	[[(2R,3S,5R)-3-hydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methoxy-oxidophosphoryl] phosphate	C10H13N2O11P2-3	399.16	CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])[O-])O	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)([O-])OP(=O)([O-])[O-])O	dtdp	DTDP C10H13N2O11P2
PHENTZNALBMCQD-UHFFFAOYSA-M	21123869	3-(carbamoylamino)-2-methylpropanoate	C5H9N2O3-	145.14	CC(CNC(=O)N)C(=O)[O-]	CC(CNC(=O)N)C(=O)[O-]	3uib	3-Ureidoisobutyrate
GACTWZZMVMUKNG-SLPGGIOYSA-L	21123134	[(2R,3R,4R,5S)-2,3,4,5,6-pentahydroxyhexyl] phosphate	C6H13O9P-2	260.14	C([C@@H]([C@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O)O)O	C(C(C(C(C(COP(=O)([O-])[O-])O)O)O)O)O	sbt6p	D-Sorbitol 6-phosphate
FTDHDKPUHBLBTL-SHYZEUOFSA-K	21122964	[[(2R,3S,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-3-hydroxyoxolan-2-yl]methoxy-oxidophosphoryl] phosphate	C9H12N3O10P2-3	384.15	C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)([O-])OP(=O)([O-])[O-])O	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)([O-])OP(=O)([O-])[O-])O	dcdp	DCDP C9H12N3O10P2
NIUVHXTXUXOFEB-UHFFFAOYSA-J	20849114	3-[8,12,17-tris(2-carboxylatoethyl)-3,7,13,18-tetramethyl-5,10,15,20,21,22,23,24-octahydroporphyrin-2-yl]propanoate	C36H40N4O8-4	656.7	CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)[O-])N2)C)CCC(=O)[O-])C)CCC(=O)[O-])CCC(=O)[O-])C	CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)[O-])N2)C)CCC(=O)[O-])C)CCC(=O)[O-])CCC(=O)[O-])C	cpppg3	Coproporphyrinogen III
UHSGPDMIQQYNAX-UHFFFAOYSA-L	20849104	3-[18-(2-carboxylatoethyl)-8,13-bis(ethenyl)-3,7,12,17-tetramethyl-5,10,15,20,21,22,23,24-octahydroporphyrin-2-yl]propanoate	C34H38N4O4-2	566.7	CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)[O-])N2)CCC(=O)[O-])C)C=C)C)C=C)C	CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)[O-])N2)CCC(=O)[O-])C)C=C)C)C=C)C	pppg9	Protoporphyrinogen IX
PQGCEDQWHSBAJP-TXICZTDVSA-I	20848918	[(2R,3S,4R,5R)-3,4-dihydroxy-5-[oxido(phosphonatooxy)phosphoryl]oxyoxolan-2-yl]methyl phosphate	C5H8O14P3-5	385.03	C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)([O-])OP(=O)([O-])[O-])O)O)OP(=O)([O-])[O-]	C(C1C(C(C(O1)OP(=O)([O-])OP(=O)([O-])[O-])O)O)OP(=O)([O-])[O-]	prpp	5-Phospho-alpha-D-ribose 1-diphosphate
YJVOWRAWFXRESP-ZCFIWIBFSA-M	20846131	(3R)-3-hydroxy-3-methyl-2-oxopentanoate	C6H9O4-	145.13	CC[C@](C)(C(=O)C(=O)[O-])O	CCC(C)(C(=O)C(=O)[O-])O	3hmop	(R)-3-Hydroxy-3-methyl-2-oxopentanoate
ISWSIDIOOBJBQZ-UHFFFAOYSA-N	20488062	hydron;phenoxide	C6H6O	94.11	[H+].C1=CC=C(C=C1)[O-]	[H+].C1=CC=C(C=C1)[O-]	phenol	Phenol
UWBHMRBRLOJJAA-UHFFFAOYSA-M	20151193	2-(carbamoylamino)-2-oxoacetate	C3H3N2O4-	131.07	C(=O)(C(=O)[O-])NC(=O)N	C(=O)(C(=O)[O-])NC(=O)N	oxur	Oxalureate
ZWIADYZPOWUWEW-XVFCMESISA-K	20056867	[[(2R,3S,4R,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl] phosphate	C9H12N3O11P2-3	400.15	C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])[O-])O)O	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])[O-])O)O	cdp	CDP C9H12N3O11P2
XCCTYIAWTASOJW-XVFCMESISA-K	20056717	[[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl] phosphate	C9H11N2O12P2-3	401.14	C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])[O-])O)O	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])[O-])O)O	udp	UDP C9H11N2O12P2
GVVPGTZRZFNKDS-JXMROGBWSA-K	19379894	[[(2E)-3,7-dimethylocta-2,6-dienoxy]-oxidophosphoryl] phosphate	C10H17O7P2-3	311.18	CC(=CCC/C(=C/COP(=O)([O-])OP(=O)([O-])[O-])/C)C	CC(=CCCC(=CCOP(=O)([O-])OP(=O)([O-])[O-])C)C	grdp	Geranyl diphosphate
HZAXFHJVJLSVMW-UHFFFAOYSA-O	18785322	2-aminoethanol;hydron	C2H8NO+	62.09	[H+].C(CO)N	[H+].C(CO)N	etha	Ethanolamine
LYIIBVSRGJSHAV-UHFFFAOYSA-O	18706033	2-oxoethylazanium	C2H6NO+	60.08	C(C=O)[NH3+]	C(C=O)[NH3+]	amacald	Aminoacetaldehyde C2H5NO
JSRLJPSBLDHEIO-SHYZEUOFSA-L	18601100	[(2R,3S,5R)-5-(2,4-dioxopyrimidin-1-yl)-3-hydroxyoxolan-2-yl]methyl phosphate	C9H11N2O8P-2	306.17	C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)([O-])[O-])O	C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)([O-])[O-])O	dump	DUMP C9H11N2O8P
ODKSFYDXXFIFQN-SCSAIBSYSA-O	17753939	[(4R)-4-amino-4-carboxybutyl]-(diaminomethylidene)azanium	C6H15N4O2+	175.21	C(C[C@H](C(=O)O)N)C[NH+]=C(N)N	C(CC(C(=O)O)N)C[NH+]=C(N)N	arg__D	D-Arginine
XHFVGHPGDLDEQO-ZETCQYMHSA-K	16755653	3-[[(2R)-2-hydroxy-3,3-dimethyl-4-phosphonatooxybutanoyl]amino]propanoate	C9H15NO8P-3	296.19	CC(C)(COP(=O)([O-])[O-])[C@H](C(=O)NCCC(=O)[O-])O	CC(C)(COP(=O)([O-])[O-])C(C(=O)NCCC(=O)[O-])O	4ppan	D-4'-Phosphopantothenate
GYOZYWVXFNDGLU-XLPZGREQSA-L	16755631	[(2R,3S,5R)-3-hydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl phosphate	C10H13N2O8P-2	320.19	CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)([O-])[O-])O	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)([O-])[O-])O	dtmp	DTMP C10H13N2O8P
PKVVTUWHANFMQC-UHFFFAOYSA-M	16755619	4-hydroxy-3,3-dimethyl-2-oxobutanoate	C6H9O4-	145.13	CC(C)(CO)C(=O)C(=O)[O-]	CC(C)(CO)C(=O)C(=O)[O-]	2dhp	2-Dehydropantoate
QGZKDVFQNNGYKY-UHFFFAOYSA-O	16741146	azane;hydron	H4N+	18.039	[H+].N	[H+].N	nh4	Ammonium
AEMOLEFTQBMNLQ-AQKNRBDQSA-M	16740916	(2S,3S,4S,5R)-3,4,5,6-tetrahydroxyoxane-2-carboxylate	C6H9O7-	193.13	[C@@H]1([C@@H]([C@H](OC([C@@H]1O)O)C(=O)[O-])O)O	C1(C(C(OC(C1O)O)C(=O)[O-])O)O	glcur	D-Glucuronate
MNLRQHMNZILYPY-MKFCKLDKSA-M	16738680	(2R)-2-[(3R,4R,5S,6R)-3-acetamido-2,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoate	C11H18NO8-	292.26	C[C@H](C(=O)[O-])O[C@H]1[C@@H]([C@H](OC([C@@H]1NC(=O)C)O)CO)O	CC(C(=O)[O-])OC1C(C(OC(C1O)CO)O)NC(=O)C	acmum	N-Acetylmuramate
LFTYTUAZOPRMMI-CFRASDGPSA-L	16667373	[(2R,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl] [[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl] phosphate	C17H25N3O17P2-2	605.3	CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)([O-])OP(=O)([O-])OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)CO)O)O	CC(=O)NC1C(C(C(OC1OP(=O)([O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O	uacgam	UDP-N-acetyl-D-glucosamine
NGILTSZTOFYVBF-UVJOBNTFSA-H	16048613	3-[[(3S,7S,11S)-7,11-bis[(2,3-dioxidobenzoyl)amino]-2,6,10-trioxo-1,5,9-trioxacyclododec-3-yl]carbamoyl]benzene-1,2-diolate;iron(3+)	C30H21FeN3O15-3	719.3	C1[C@@H](C(=O)OC[C@@H](C(=O)OC[C@@H](C(=O)O1)NC(=O)C2=C(C(=CC=C2)[O-])[O-])NC(=O)C3=C(C(=CC=C3)[O-])[O-])NC(=O)C4=C(C(=CC=C4)[O-])[O-].[Fe+3]	C1C(C(=O)OCC(C(=O)OCC(C(=O)O1)NC(=O)C2=C(C(=CC=C2)[O-])[O-])NC(=O)C3=C(C(=CC=C3)[O-])[O-])NC(=O)C4=C(C(=CC=C4)[O-])[O-].[Fe+3]	feenter	Fe-enterobactin
VWFJDQUYCIWHTN-YFVJMOTDSA-K	15983959	[oxido-[(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trienoxy]phosphoryl] phosphate	C15H25O7P2-3	379.30	CC(=CCC/C(=C/CC/C(=C/COP(=O)([O-])OP(=O)([O-])[O-])/C)/C)C	CC(=CCCC(=CCCC(=CCOP(=O)([O-])OP(=O)([O-])[O-])C)C)C	frdp	Farnesyl diphosphate
CBIDRCWHNCKSTO-UHFFFAOYSA-K	15983958	[3-methylbut-2-enoxy(oxido)phosphoryl] phosphate	C5H9O7P2-3	243.07	CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])C	CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])C	dmpp	Dimethylallyl diphosphate
NUHSROFQTUXZQQ-UHFFFAOYSA-K	15983957	[3-methylbut-3-enoxy(oxido)phosphoryl] phosphate	C5H9O7P2-3	243.07	CC(=C)CCOP(=O)([O-])OP(=O)([O-])[O-]	CC(=C)CCOP(=O)([O-])OP(=O)([O-])[O-]	ipdp	Isopentenyl diphosphate
ACFIXJIJDZMPPO-NNYOXOHSSA-J	15983949	[(2R,3R,4R,5R)-2-(6-aminopurin-9-yl)-5-[[[[(2R,3S,4R,5R)-5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl]oxy-oxidophosphoryl]oxymethyl]-4-hydroxyoxolan-3-yl] phosphate	C21H26N7O17P3-4	741.4	C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)([O-])[O-])O)O)O	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)([O-])[O-])O)O)O	nadph	Nicotinamide adenine dinucleotide phosphate - reduced
HZSAJDVWZRBGIF-UHFFFAOYSA-M	15942892	2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethyl phosphate	C12H16N4O4PS-	343.32	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)([O-])[O-]	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)([O-])[O-]	thmmp	Thiamin monophosphate
ZKUSPPOKDDRMIU-JJYYJPOSSA-K	15942886	(3S,4R,5R)-3,4,5-trihydroxy-2-oxo-6-phosphonatooxyhexanoate	C6H8O10P-3	271.10	C([C@H]([C@H]([C@@H](C(=O)C(=O)[O-])O)O)O)OP(=O)([O-])[O-]	C(C(C(C(C(=O)C(=O)[O-])O)O)O)OP(=O)([O-])[O-]	6p2dhglcn	6-Phospho-2-dehydro-D-gluconate
YJQPYGGHQPGBLI-KGSXXDOSSA-M	15940185	7-[(2R,3R,4S,5R)-4-carbamoyloxy-3-hydroxy-5-methoxy-6,6-dimethyloxan-2-yl]oxy-3-[[4-hydroxy-3-(3-methylbut-2-enyl)benzoyl]amino]-8-methyl-2-oxochromen-4-olate	C31H35N2O11-	611.6	CC1=C(C=CC2=C1OC(=O)C(=C2[O-])NC(=O)C3=CC(=C(C=C3)O)CC=C(C)C)O[C@H]4[C@@H]([C@@H]([C@H](C(O4)(C)C)OC)OC(=O)N)O	CC1=C(C=CC2=C1OC(=O)C(=C2[O-])NC(=O)C3=CC(=C(C=C3)O)CC=C(C)C)OC4C(C(C(C(O4)(C)C)OC)OC(=O)N)O	novbcn	Novobiocin
CKLJMWTZIZZHCS-REOHCLBHSA-M	15939608	(2S)-2-amino-4-hydroxy-4-oxobutanoate	C4H6NO4-	132.09	C([C@@H](C(=O)[O-])N)C(=O)O	C(C(C(=O)[O-])N)C(=O)O	asp__L	L-Aspartate
XJLXINKUBYWONI-NNYOXOHSSA-K	15938972	[(2R,3R,4R,5R)-2-(6-aminopurin-9-yl)-5-[[[[(2R,3S,4R,5R)-5-(3-carbamoylpyridin-1-ium-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl]oxy-oxidophosphoryl]oxymethyl]-4-hydroxyoxolan-3-yl] phosphate	C21H25N7O17P3-3	740.4	C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)([O-])[O-])O)O)O)C(=O)N	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)([O-])[O-])O)O)O)C(=O)N	nadp	Nicotinamide adenine dinucleotide phosphate
BAWFJGJZGIEFAR-NNYOXOHSSA-M	15938971	[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-oxidophosphoryl] [(2R,3S,4R,5R)-5-(3-carbamoylpyridin-1-ium-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphate	C21H26N7O14P2-	662.4	C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	nad	Nicotinamide adenine dinucleotide
BUFLLCUFNHESEH-UUOKFMHZSA-I	15938967	[[(2R,3S,4R,5R)-5-(2-amino-6-oxo-3H-purin-9-yl)-4-hydroxy-2-[[[hydroxy(oxido)phosphoryl]oxy-oxidophosphoryl]oxymethyl]oxolan-3-yl]oxy-oxidophosphoryl] phosphate	C10H12N5O17P4-5	598.12	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)(O)[O-])OP(=O)([O-])OP(=O)([O-])[O-])O)NC(=NC2=O)N	C1=NC2=C(N1C3C(C(C(O3)COP(=O)([O-])OP(=O)(O)[O-])OP(=O)([O-])OP(=O)([O-])[O-])O)NC(=NC2=O)N	ppgpp	Guanosine 3',5'-bis(diphosphate)
LNQVTSROQXJCDD-KQYNXXCUSA-L	15938966	[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] phosphate	C10H12N5O7P-2	345.21	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])[O-])O)N	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])[O-])O)N	3amp	3  AMP C10H12N5O7P
UDMBCSSLTHHNCD-KQYNXXCUSA-L	15938965	[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphate	C10H12N5O7P-2	345.21	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O)N	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])[O-])O)O)N	amp	AMP C10H12N5O7P
AYEKOFBPNLCAJY-UHFFFAOYSA-L	15938963	[2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethoxy-oxidophosphoryl] phosphate	C12H16N4O7P2S-2	422.29	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)([O-])OP(=O)([O-])[O-]	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)([O-])OP(=O)([O-])[O-]	thmpp	Thiamine diphosphate
LVNGJLRDBYCPGB-LDLOPFEMSA-N	15061530	2-azaniumylethyl [(2R)-2,3-di(octadecanoyloxy)propyl] phosphate	C41H82NO8P	748.1	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCCCCCCCCCCCC	CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCCCCCCCCCCCC	pe180	Phosphatidylethanolamine (dioctadecanoyl, n-C18:0)
RNBGYGVWRKECFJ-OEXCPVAWSA-J	15043189	[(2R,3R,4S)-3,4,5-trihydroxy-5-(phosphonatooxymethyl)oxolan-2-yl]methyl phosphate	C6H10O12P2-4	336.08	C([C@@H]1[C@@H]([C@@H](C(O1)(COP(=O)([O-])[O-])O)O)O)OP(=O)([O-])[O-]	C(C1C(C(C(O1)(COP(=O)([O-])[O-])O)O)O)OP(=O)([O-])[O-]	tagdp__D	D-Tagatose 1,6-biphosphate
WHUUTDBJXJRKMK-VKHMYHEASA-M	14598502	(2S)-2-amino-5-hydroxy-5-oxopentanoate	C5H8NO4-	146.12	C(CC(=O)O)[C@@H](C(=O)[O-])N	C(CC(=O)O)C(C(=O)[O-])N	glu__L	L-Glutamate
